Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2024,aston martin,ASX,Aston Martin,DB12 V8,5723PT5601,0,4.000,RASXV04.0AES,Car,680,8,177850,A,Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,3.08,24.8,1,Not eqipped,RASX10082337,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0256000,0.5360000,484.3290000,0.0080000,,0.0089000,0.0039000,18.3,MPG,17.8185000,17.0058000,21.6199000,,-0.1000000,-0.2000000,-0.3500000,53.240,0.22280,0.02210,5.670,0.00830,0.02210,TWC,Three-way catalyst,N,,,N,No averaging
2024,aston martin,ASX,Aston Martin,DB12 V8,5723PT5601,0,4.000,RASXV04.0AES,Car,680,8,177850,A,Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,3.08,24.8,1,Not eqipped,RASX10082338,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0007000,0.0400000,283.2350000,0.0070000,,,,31.3,MPG,,,,,8.7200000,7.0900000,-0.4200000,53.240,0.22280,0.02210,5.670,0.00830,0.02210,TWC,Three-way catalyst,N,,,N,No averaging
2024,aston martin,ASX,Aston Martin,DBX,8001PT8342,1,4.000,MASXJ04.0AEX,Both,550,8,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,3.06,21.0,1,Not eqipped,MASX10071301,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0146000,0.1200000,521.2600000,0.0090000,,0.0028000,,17.2,MPG,15.9395000,16.3355000,19.3230000,,-3.1000000,-2.4400000,-2.1100000,60.680,-0.32860,0.03730,-4.880,-0.53180,0.03670,TWC,Three-way catalyst,N,,,N,No averaging
2024,aston martin,ASX,Aston Martin,DBX,8001PT8342,1,4.000,MASXJ04.0AEX,Both,550,8,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,3.06,21.0,1,Not eqipped,MASX10071328,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0,0,327.5400000,0.0020000,,,,27.4,MPG,,,,,-5.2400000,-4.3700000,-0.8800000,60.680,-0.32860,0.03730,-4.880,-0.53180,0.03670,TWC,Three-way catalyst,N,,,N,No averaging
2024,aston martin,ASX,Aston Martin,DBX 707,8841PT8473,0,4.000,PASXJ04.0AEX,Both,707,8,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,3.27,22.0,1,Not eqipped,PASX10073957,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0156000,0.1500000,486.7500000,0.0110000,0.0004000,0.0040000,,18.5,MPG,17.7311000,17.8284000,20.4728000,,-0.8400000,-1.0000000,-0.3800000,60.680,-0.32860,0.03730,-4.880,-0.53180,0.03670,TWC,Three-way catalyst,N,,,N,No averaging
2024,aston martin,ASX,Aston Martin,DBX 707,8841PT8473,0,4.000,PASXJ04.0AEX,Both,707,8,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,3.27,22.0,1,Not eqipped,PASX10073958,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0,0.0200000,331.4800000,0.0030000,,,,27.2,MPG,,,,,-5.0300000,-4.1600000,-1.2100000,60.680,-0.32860,0.03730,-4.880,-0.53180,0.03670,TWC,Three-way catalyst,N,,,N,No averaging
2024,aston martin,ASX,Aston Martin,Valour,6901PT6826,0,5.200,RASXV05.2AM5,Car,715,12,AM31A/,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4250,3.54,32.4,1,Not eqipped,RASX10082977,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0461000,0.5500000,586.8900000,0.0280000,,0.0093000,0.0012000,15.2,MPG,14.4622000,13.8381000,17.6982000,,-3.6900000,-2.5700000,-1.0800000,47.680,0.53690,0.01970,30.690,0.12300,0.02180,TWC,Three-way catalyst,N,,,N,No averaging
2024,aston martin,ASX,Aston Martin,Valour,6901PT6826,0,5.200,RASXV05.2AM5,Car,715,12,AM31A/,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4250,3.54,32.4,1,Not eqipped,RASX10082978,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0003000,0.0700000,362.3700000,0.0020000,,,,24.7,MPG,,,,,-1.3000000,-0.7200000,-0.4900000,47.680,0.53690,0.01970,30.690,0.12300,0.02180,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,228i Gran Coupe,7F72606,0,2.000,MBMXJ02.0B4X,Both,228,4,B46A20O1F44S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3750,2.95,27.4,1,Not eqipped,MBMX10066519,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0066450,0.2468089,278.7595253,0.0024674,,0.0012075,0.0000974,31.5,MPG,30.1827419,31.3991673,32.6334241,,1.8777509,1.2294827,-0.5189583,36.300,0.04300,0.01823,18.100,0.00900,0.01823,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,228i Gran Coupe,7F72606,0,2.000,MBMXJ02.0B4X,Both,228,4,B46A20O1F44S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3750,2.95,27.4,1,Not eqipped,MBMX10066520,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0006490,0.0029978,175.4953204,0.0023005,,0,,50.2,MPG,,,,,4.9086058,3.6863503,-0.7241056,36.300,0.04300,0.01823,18.100,0.00900,0.01823,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,228i Gran Coupe,7F72606,1,2.000,MBMXJ02.0B4X,Both,228,4,B46A20O1F44S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3750,2.95,27.4,1,Not eqipped,MBMX10066437,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0050199,0.2178812,287.6702787,0.0021871,,0.0009271,0.0001464,30.5,MPG,29.3779033,30.6320866,31.2650652,,0.0977668,-0.1607076,-0.9348916,47.300,0.06700,0.01781,26.800,0.22800,0.01564,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,228i Gran Coupe,7F72606,1,2.000,MBMXJ02.0B4X,Both,228,4,B46A20O1F44S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3750,2.95,27.4,1,Not eqipped,MBMX10066440,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0000300,0.0015000,191.3054000,0.0021000,,0,,46.0,MPG,,,,,4.8380000,3.3880000,-0.3630000,47.300,0.06700,0.01781,26.800,0.22800,0.01564,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,228i xDrive Gran Coupe,7D46114,0,2.000,LBMXJ02.0B4X,Both,228,4,B46A20O1F44X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,2.95,27.4,1,Not eqipped,LBMX10062748,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0073892,0.1843343,296.4722894,0.0048707,,0.0011585,0.0008847,29.7,MPG,27.8056412,29.7824520,30.7947359,,0.8247190,0.6517522,-0.5508383,41.300,-0.10500,0.01965,0.300,0.09200,0.01693,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,228i xDrive Gran Coupe,7D46114,0,2.000,LBMXJ02.0B4X,Both,228,4,B46A20O1F44X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,2.95,27.4,1,Not eqipped,LBMX10062749,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0004115,0.0010223,182.9377615,0.0036324,,0.0000395,,48.0,MPG,,,,,-0.9458230,-1.4655840,-1.1639887,41.300,-0.10500,0.01965,0.300,0.09200,0.01693,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,228i xDrive Gran Coupe,7D46114,1,2.000,LBMXJ02.0B4X,Both,228,4,B46A20O1F44X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,2.95,27.4,1,Not eqipped,LBMX10062750,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005331,0,194.3658064,0.0048682,,0.0002190,,45.3,MPG,,,,,0.8745010,0.9241560,-0.8169575,52.500,-0.08000,0.01968,12.400,0.05900,0.01711,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,228i xDrive Gran Coupe,7D46114,1,2.000,LBMXJ02.0B4X,Both,228,4,B46A20O1F44X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,2.95,27.4,1,Not eqipped,LBMX10062751,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0070675,0.1985082,302.3054144,0.0092353,,0.0011716,0.0010109,29.1,MPG,27.5270691,29.0937158,30.1670278,,-0.8093587,-0.4956958,-0.6234334,52.500,-0.08000,0.01968,12.400,0.05900,0.01711,TWC,Three-way catalyst,N,,,N,No averaging
